Fecha,IPC,Var.IPC
Jan-90,14.02,
Feb-90,14.25,
Mar-90,14.67,
Apr-90,15.24,
May-90,16.16,
Jun-90,16.75,
Jul-90,17.34,
Aug-90,17.5,
Sep-90,18.57,
Oct-90,19.32,
Nov-90,20.06,
Dec-90,21.74,
Jan-91,22.52,60.62767475
Feb-91,22.44,57.47368421
Mar-91,22.47,53.16973415
Apr-91,22.78,49.47506562
May-91,23.03,42.51237624
Jun-91,23.22,38.62686567
Jul-91,23.27,34.19838524
Aug-91,23.62,34.97142857
Sep-91,23.45,26.27894453
Oct-91,23.48,21.5320911
Nov-91,23.6,17.64705882
Dec-91,23.92,10.0275989
Jan-92,24.02,6.660746004
Feb-92,24.27,8.155080214
Mar-92,24.73,10.05785492
Apr-92,24.92,9.394205443
May-92,25.11,9.031697785
Jun-92,25.3,8.957795004
Jul-92,25.7,10.44263
Aug-92,25.9,9.652836579
Sep-92,26.08,11.21535181
Oct-92,26.2,11.58432709
Nov-92,26.72,13.22033898
Dec-92,27.32,14.21404682
Jan-93,27.45,14.27976686
Feb-93,27.5,13.30861145
Mar-93,27.7,12.00970481
Apr-93,28.09,12.72070626
May-93,28.25,12.5049781
Jun-93,28.94,14.38735178
Jul-93,29.62,15.25291829
Aug-93,29.7,14.67181467
Sep-93,29.57,13.38190184
Oct-93,29.74,13.51145038
Nov-93,30.13,12.76197605
Dec-93,30.5,11.6398243
Jan-94,31.15,13.47905282
Feb-94,31.44,14.32727273
Mar-94,31.62,14.15162455
Apr-94,32,13.91954432
May-94,32.25,14.15929204
Jun-94,32.35,11.78299931
Jul-94,32.5,9.723160027
Aug-94,32.89,10.74074074
Sep-94,33.11,11.97159283
Oct-94,33.4,12.3066577
Nov-94,33.87,12.41287753
Dec-94,34.03,11.57377049
Jan-95,34.05,9.309791332
Feb-95,33.94,7.951653944
Mar-95,34.1,7.843137255
Apr-95,34.36,7.375
May-95,34.87,8.124031008
Jun-95,35.31,9.14992272
Jul-95,35.38,8.861538462
Aug-95,35.6,8.2395865
